SlNo,FarmerAge,FarmerEduaction,InvolveWithShrimpFarming,Latitude,Longitude,Zone,PriorLandUse,Area_ha,SoilType,CanalDepth_ft,GherDepth_ft,Operator,FertilizerUse,ChemicalUsePondPreparation,ChemicalUseWaterTreatment,Aerator,GherDryAfterHarvest,SludgeRemovalMethods,SludgeRemovalInterval,MaintainAndRepairDikes,PeriodOfFallow,WaterSource_DirectNatural,WaterSource_IndirectNatural,WaterComingViaOtherFarms,Reservoir,WaterExchangeFrequency,InletOutlet,CultureMethod,SourceOfFingerling,StockingDensity_PL/40MeterSquare,StockingAge_Days,PLQuality,CropRotation,FeedType,FeedAdditives,BirdScare,CrabFench,FootBath,LimitedAccess,SameEquipmentForWholeCultureArea,CulturePractice,Temperature,pH,Salinity,PreviousPrevalence(%),CurrentPrevalance(%),VirusDetected
139,65,No,16,22.676265,89.474326,Khulna,3,0.22267206477732793,2,6.0,3.0,1,4,1,1,0,1,2,3,2,45,0,4,1,0,3,1,1,2,100.0,15,2,1,5,0,0,0,0,0,1,2,27.0,9.0,14.0,65.0,0,0
57,60,Secondary,30,22.580687,89.666652,Bagerhat,3,0.242914979757085,1,3.0,2.5,1,1,1,3,0,1,5,1,2,30,0,4,1,0,4,1,1,2,300.0,30,3,0,4,1,0,0,0,0,1,2,28.0,7.5,13.0,100.0,50,1
75,55,Higher Secondary,20,22.676317,89.409818,Khulna,1,1.1133603238866396,3,5.0,2.5,1,3,1,3,0,1,3,2,2,55,2,0,0,0,2,1,1,1,180.0,8,2,1,3,1,0,0,0,0,1,2,28.0,7.5,14.0,45.0,0,0
56,49,Secondary,13,22.579864,89.704947,Bagerhat,3,0.1214574898785425,1,3.0,1.5,1,3,1,3,0,1,2,2,2,30,1,0,0,0,4,1,3,1,166.0,15,2,0,4,1,0,0,0,0,1,2,26.0,9.0,11.0,30.0,50,1
128,48,Primary,7,22.78872,89.334755,Khulna,3,0.25101214574898784,2,5.5,3.0,1,4,1,1,0,1,2,3,2,60,1,0,0,0,3,1,1,3,457.0,8,2,0,4,0,0,0,0,0,1,2,35.0,7.6,12.0,35.0,0,0
29,50,Junior Secondary,12,22.700904,89.457357,Khulna,3,0.14979757085020243,1,2.0,1.0,1,2,1,1,0,1,3,3,2,30,3,0,0,0,1,0,3,1,166.0,30,2,1,4,0,0,0,0,0,1,2,27.0,6.0,4.0,15.0,0,0
159,48,Higher Secondary,18,22.670353,89.050727,Satkhira,3,0.44534412955465585,3,3.0,1.0,1,3,1,1,0,1,3,2,2,45,0,2,0,0,1,1,1,2,400.0,30,2,1,5,0,0,0,0,1,1,2,27.0,6.0,4.0,40.0,0,0
85,38,Secondary,5,22.691389,89.4825,Khulna,3,0.15384615384615385,1,4.0,3.0,1,4,1,3,0,1,3,2,2,105,2,0,0,0,4,0,1,1,120.0,5,1,0,1,0,0,0,0,0,1,2,37.0,8.6,10.0,60.0,70,1
144,40,Junior Secondary,25,22.69052,89.47413,Khulna,3,2.5506072874493926,3,4.0,2.5,0,4,1,1,0,1,1,3,2,30,0,2,0,0,3,0,1,1,61.0,16,2,1,1,0,0,0,0,0,1,2,26.0,8.5,13.0,75.0,0,0
105,60,Primary,7,22.704591,89.47331,Khulna,3,0.10121457489878542,3,6.5,2.0,1,1,1,3,0,1,1,2,2,75,2,0,0,0,2,0,1,1,160.0,9,2,1,2,1,0,0,0,0,1,2,33.0,8.0,10.0,65.0,50,1
31,32,Junior Secondary,23,22.703141,89.47335,Khulna,1,0.4048582995951417,1,5.0,3.0,0,1,1,1,0,1,3,2,2,30,0,2,0,0,4,0,1,2,176.0,15,2,1,3,1,0,0,0,0,1,2,32.0,,7.0,100.0,100,1
94,50,Higher Secondary,9,22.756475,89.477223,Khulna,3,0.1417004048582996,2,8.0,6.0,1,3,3,3,1,1,1,2,2,65,0,1,0,1,2,0,4,2,342.0,8,2,1,2,1,1,1,1,1,0,1,29.0,7.6,8.8,85.0,0,0
135,42,Bachelor's,2,22.761944,89.503611,Khulna,1,3.6437246963562755,2,0.0,4.5,0,4,3,3,1,1,2,2,2,105,0,1,0,1,1,0,4,2,600.0,15,1,0,2,1,0,1,1,1,0,1,30.0,7.7,12.0,20.0,0,0
79,50,Higher Secondary,25,22.676317,89.409818,Khulna,3,0.30364372469635625,2,4.0,2.0,1,4,1,1,0,1,3,2,2,45,1,0,0,0,4,1,1,1,220.0,8,2,1,4,0,0,0,0,0,1,2,27.0,8.5,12.0,30.0,100,1
123,35,Higher Secondary,20,22.776288,89.324977,Khulna,3,5.060728744939271,2,5.5,3.0,1,3,1,3,0,1,3,3,2,45,1,0,0,0,3,1,1,2,548.0,8,1,0,2,1,0,0,0,0,1,2,33.0,8.0,11.0,35.0,35,1
137,35,Primary,10,22.679336,89.477113,Khulna,3,0.1417004048582996,2,4.0,2.5,1,3,1,1,0,1,1,2,1,60,0,2,0,0,3,0,3,2,114.0,14,2,1,3,0,0,0,0,0,1,2,27.0,9.0,14.0,20.0,0,0
49,60,Higher Secondary,26,22.3945424,89.1768693,Satkhira,3,5.870445344129554,2,2.0,1.0,0,3,1,1,0,1,3,2,2,45,1,0,0,0,4,1,1,2,315.0,30,2,0,4,0,0,0,0,0,1,2,30.0,8.0,13.0,100.0,45,1
156,45,Primary,16,22.64748,89.044991,Satkhira,3,0.26720647773279355,3,3.0,2.0,1,3,1,1,0,1,3,2,2,50,0,4,1,0,1,1,1,2,200.0,28,2,1,1,0,0,0,0,0,1,2,27.0,6.0,10.0,40.0,0,0
147,35,Bachelor's,3,22.674725,89.474163,Khulna,1,4.2105263157894735,2,0.0,4.5,0,4,3,3,1,1,2,2,2,70,0,1,0,0,1,0,4,2,600.0,12,1,0,2,1,0,1,1,1,1,1,30.0,7.8,13.0,80.0,90,1
45,29,Secondary,4,22.7404847,89.4649385,Khulna,3,0.2631578947368421,2,6.0,4.0,1,3,3,3,1,1,3,2,2,30,0,1,0,1,2,0,4,2,289.0,15,1,0,2,1,1,1,1,1,0,1,24.0,8.0,12.0,20.0,0,0
